	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Kappa statistic	Mean absolute error	Number instances predicted as dependent variable class BRCACancer	Number instances predicted as dependent variable class BRCACancer correctly	Number instances predicted as dependent variable class BRCACancer incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCACancer	Number instances with dependent variable class BRCACancer predicted correctly	Number instances with dependent variable class BRCACancer predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCACancer	Proportion instances predicted as dependent variable class BRCACancer correctly	Proportion instances predicted as dependent variable class BRCACancer incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCACancer	Proportion instances with dependent variable class BRCACancer predicted correctly	Proportion instances with dependent variable class BRCACancer predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Relative absolute error	Root mean squared error	Root relative squared error	Total number correct	Total number incorrect	Youden Index
utahontario1_BIOCARTA_CSK_PATHWAY_weka_svm_weights_r_svm_rbf	0.6187290969899666	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.07874015748031475	0.434519826747922	4.0	2.0	2.0	32.0	21.0	11.0	13.0	2.0	11.0	23.0	21.0	2.0	0.1111111111111111	0.5	0.5	0.8888888888888888	0.65625	0.34375	0.3611111111111111	0.15384615384615385	0.8461538461538461	0.6388888888888888	0.9130434782608695	0.08695652173913043	93.75759037715414	0.47390909629048183	98.65331044199047	23	13	0.06688963210702337
utahontario1_BIOCARTA_CSK_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6669683257918552	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	0.0383869716944552	0.40666492051680303	7.0	3.0	4.0	117.0	81.0	36.0	39.0	3.0	36.0	85.0	81.0	4.0	0.056451612903225805	0.42857142857142855	0.5714285714285714	0.9435483870967742	0.6923076923076923	0.3076923076923077	0.31451612903225806	0.07692307692307693	0.9230769230769231	0.6854838709677419	0.9529411764705882	0.047058823529411764	94.07362626820453	0.45393314668430296	97.76042588972426	84	40	0.029864253393665052
utahontario1_BIOCARTA_CTCF_PATHWAY_weka_svm_weights_r_svm_rbf	0.3712374581939799	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.46498124681750863	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	100.33033843002396	0.502927148973449	104.69397727485517	23	13	0.0
utahontario1_BIOCARTA_CTCF_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5951734539969835	0.6612903225806451	0.3145161290322581	-0.024193548387096753	NA	0.33870967741935487	-0.047044632086851675	0.4233790889726675	3.0	0.0	3.0	121.0	82.0	39.0	39.0	0.0	39.0	85.0	82.0	3.0	0.024193548387096774	0.0	1.0	0.9758064516129032	0.6776859504132231	0.32231404958677684	0.31451612903225806	0.0	1.0	0.6854838709677419	0.9647058823529412	0.03529411764705882	97.94010787842701	0.4625192024386827	99.60954502409945	82	42	-0.03529411764705881
utahontario1_BIOCARTA_CTLA4_PATHWAY_weka_svm_weights_r_svm_rbf	0.5217391304347826	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.4495927793779251	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	97.0099246354892	0.4808659594765143	100.10151557028672	23	13	0.0
utahontario1_BIOCARTA_CTLA4_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.3463046757164404	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	0.0028146361077602627	0.44452047096009994	3.0	1.0	2.0	121.0	83.0	38.0	39.0	1.0	38.0	85.0	83.0	2.0	0.024193548387096774	0.3333333333333333	0.6666666666666666	0.9758064516129032	0.6859504132231405	0.3140495867768595	0.31451612903225806	0.02564102564102564	0.9743589743589743	0.6854838709677419	0.9764705882352941	0.023529411764705882	102.83073494641108	0.4814734814177795	103.69159631064682	84	40	0.002111613876319751
utahontario1_BIOCARTA_CTL_PATHWAY_weka_svm_weights_r_svm_rbf	0.4080267558528428	0.6111111111111112	0.36111111111111116	-0.02777777777777768	NA	0.38888888888888884	-0.05439330543933049	0.4643330163507026	1.0	0.0	1.0	35.0	22.0	13.0	13.0	0.0	13.0	23.0	22.0	1.0	0.027777777777777776	0.0	1.0	0.9722222222222222	0.6285714285714286	0.37142857142857144	0.3611111111111111	0.0	1.0	0.6388888888888888	0.9565217391304348	0.043478260869565216	100.19046788135036	0.5009694169778621	104.28643763521832	22	14	-0.04347826086956519
utahontario1_BIOCARTA_CTL_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6132730015082957	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	0.05523809523809525	0.4220529232155323	9.0	4.0	5.0	115.0	80.0	35.0	39.0	4.0	35.0	85.0	80.0	5.0	0.07258064516129033	0.4444444444444444	0.5555555555555556	0.9274193548387096	0.6956521739130435	0.30434782608695654	0.31451612903225806	0.10256410256410256	0.8974358974358975	0.6854838709677419	0.9411764705882353	0.058823529411764705	97.63332650754339	0.46391703527891665	99.91058656464804	84	40	0.043740573152337925
utahontario1_BIOCARTA_CXCR4_PATHWAY_weka_svm_weights_r_svm_rbf	0.5819397993311036	0.5833333333333334	0.36111111111111116	-0.05555555555555547	NA	0.41666666666666663	0.014598540145985467	0.43107378673947616	8.0	3.0	5.0	28.0	18.0	10.0	13.0	3.0	10.0	23.0	18.0	5.0	0.2222222222222222	0.375	0.625	0.7777777777777778	0.6428571428571429	0.35714285714285715	0.3611111111111111	0.23076923076923078	0.7692307692307693	0.6388888888888888	0.782608695652174	0.21739130434782608	93.0140284321141	0.5135615936108334	106.90774184785461	21	15	0.013377926421404673
utahontario1_BIOCARTA_CXCR4_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.7007541478129713	0.7096774193548387	0.3145161290322581	0.024193548387096864	NA	0.29032258064516125	0.20291869353717862	0.3796069566118779	19.0	11.0	8.0	105.0	77.0	28.0	39.0	11.0	28.0	85.0	77.0	8.0	0.1532258064516129	0.5789473684210527	0.42105263157894735	0.8467741935483871	0.7333333333333333	0.26666666666666666	0.31451612903225806	0.28205128205128205	0.717948717948718	0.6854838709677419	0.9058823529411765	0.09411764705882353	87.81431877559939	0.4412468173899183	95.02825934966133	88	36	0.18793363499245852
utahontario1_BIOCARTA_CYTOKINE_PATHWAY_weka_svm_weights_r_svm_rbf	0.6387959866220736	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.44461813933710126	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	95.93653227336823	0.47355807372798714	98.58023833153513	23	13	0.0
utahontario1_BIOCARTA_CYTOKINE_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.599396681749623	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	-0.01597705858254827	0.4304116211065019	1.0	0.0	1.0	123.0	84.0	39.0	39.0	0.0	39.0	85.0	84.0	1.0	0.008064516129032258	0.0	1.0	0.9919354838709677	0.6829268292682927	0.3170731707317073	0.31451612903225806	0.0	1.0	0.6854838709677419	0.9882352941176471	0.011764705882352941	99.56694060065131	0.4649595278322723	100.13510093806919	84	40	-0.0117647058823529
utahontario1_BIOCARTA_D4GDI_PATHWAY_weka_svm_weights_r_svm_rbf	0.6053511705685619	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.44766447052057967	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	96.59384789781595	0.4754717633880677	98.97860971035719	23	13	0.0
utahontario1_BIOCARTA_D4GDI_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.546606334841629	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	-0.01597705858254827	0.4327848322461054	1.0	0.0	1.0	123.0	84.0	39.0	39.0	0.0	39.0	85.0	84.0	1.0	0.008064516129032258	0.0	1.0	0.9919354838709677	0.6829268292682927	0.3170731707317073	0.31451612903225806	0.0	1.0	0.6854838709677419	0.9882352941176471	0.011764705882352941	100.11593454268811	0.46713107613446436	100.60277219850272	84	40	-0.0117647058823529
utahontario1_BIOCARTA_DC_PATHWAY_weka_svm_weights_r_svm_rbf	0.47157190635451507	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.45855050521373514	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	98.94275885368923	0.4886466617589279	101.72121868156265	23	13	0.0
utahontario1_BIOCARTA_DC_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6398190045248868	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.018668831168830863	0.41982418371613395	2.0	1.0	1.0	122.0	84.0	38.0	39.0	1.0	38.0	85.0	84.0	1.0	0.016129032258064516	0.5	0.5	0.9838709677419355	0.6885245901639344	0.3114754098360656	0.31451612903225806	0.02564102564102564	0.9743589743589743	0.6854838709677419	0.9882352941176471	0.011764705882352941	97.11775312971395	0.4567875322916327	98.37515507322696	85	39	0.01387631975867265
utahontario1_BIOCARTA_DEATH_PATHWAY_weka_svm_weights_r_svm_rbf	0.5618729096989966	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.07874015748031475	0.4317755930347914	4.0	2.0	2.0	32.0	21.0	11.0	13.0	2.0	11.0	23.0	21.0	2.0	0.1111111111111111	0.5	0.5	0.8888888888888888	0.65625	0.34375	0.3611111111111111	0.15384615384615385	0.8461538461538461	0.6388888888888888	0.9130434782608695	0.08695652173913043	93.16545919110327	0.48664721501148567	101.30499531249961	23	13	0.06688963210702337
utahontario1_BIOCARTA_DEATH_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5496229260935145	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.03665338645418301	0.42212839879630987	4.0	2.0	2.0	120.0	83.0	37.0	39.0	2.0	37.0	85.0	83.0	2.0	0.03225806451612903	0.5	0.5	0.967741935483871	0.6916666666666667	0.30833333333333335	0.31451612903225806	0.05128205128205128	0.9487179487179487	0.6854838709677419	0.9764705882352941	0.023529411764705882	97.6507862421313	0.46279702118130206	99.66937691519838	85	39	0.0277526395173453
utahontario1_BIOCARTA_DNAFRAGMENT_PATHWAY_weka_svm_weights_r_svm_rbf	0.4046822742474917	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.4546941520799309	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	98.11066246772012	0.4886986338522795	101.73203767427637	23	13	0.0
utahontario1_BIOCARTA_DNAFRAGMENT_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5052790346907994	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.0	0.4343710573031096	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	100.48287532282778	0.46958273914985615	101.13076981725663	85	39	0.0
utahontario1_BIOCARTA_DREAM_PATHWAY_weka_svm_weights_r_svm_rbf	0.7224080267558528	0.7222222222222222	0.36111111111111116	0.08333333333333337	NA	0.2777777777777778	0.3308550185873605	0.4269928138094678	7.0	5.0	2.0	29.0	21.0	8.0	13.0	5.0	8.0	23.0	21.0	2.0	0.19444444444444445	0.7142857142857143	0.2857142857142857	0.8055555555555556	0.7241379310344828	0.27586206896551724	0.3611111111111111	0.38461538461538464	0.6153846153846154	0.6388888888888888	0.9130434782608695	0.08695652173913043	92.1334651879104	0.4521794101803596	94.129857555332	26	10	0.2976588628762542
utahontario1_BIOCARTA_DREAM_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6555052790346908	0.7016129032258065	0.3145161290322581	0.016129032258064613	NA	0.2983870967741935	0.14971428571428597	0.4087088452347654	8.0	5.0	3.0	116.0	82.0	34.0	39.0	5.0	34.0	85.0	82.0	3.0	0.06451612903225806	0.625	0.375	0.9354838709677419	0.7068965517241379	0.29310344827586204	0.31451612903225806	0.1282051282051282	0.8717948717948718	0.6854838709677419	0.9647058823529412	0.03529411764705882	94.54644651981016	0.45099653425584146	97.12798808742578	87	37	0.0929110105580695
utahontario1_BIOCARTA_ECM_PATHWAY_weka_svm_weights_r_svm_rbf	0.5719063545150501	0.6944444444444444	0.36111111111111116	0.05555555555555558	NA	0.3055555555555556	0.18852459016393439	0.4351810360694785	2.0	2.0	0.0	34.0	23.0	11.0	13.0	2.0	11.0	23.0	23.0	0.0	0.05555555555555555	1.0	0.0	0.9444444444444444	0.6764705882352942	0.3235294117647059	0.3611111111111111	0.15384615384615385	0.8461538461538461	0.6388888888888888	1.0	0.0	93.90026141057517	0.4780904732702795	99.52374463388901	25	11	0.15384615384615374
utahontario1_BIOCARTA_ECM_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6615384615384615	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	0.1451223715960013	0.40891434420895884	21.0	10.0	11.0	103.0	74.0	29.0	39.0	10.0	29.0	85.0	74.0	11.0	0.1693548387096774	0.47619047619047616	0.5238095238095238	0.8306451612903226	0.7184466019417476	0.2815533980582524	0.31451612903225806	0.2564102564102564	0.7435897435897436	0.6854838709677419	0.8705882352941177	0.12941176470588237	94.59398451170827	0.4566780046785776	98.3515668726799	84	40	0.12699849170437405
utahontario1_BIOCARTA_EDG1_PATHWAY_weka_svm_weights_r_svm_rbf	0.6053511705685619	0.6111111111111112	0.36111111111111116	-0.02777777777777768	NA	0.38888888888888884	-0.05439330543933049	0.43718295529217627	1.0	0.0	1.0	35.0	22.0	13.0	13.0	0.0	13.0	23.0	22.0	1.0	0.027777777777777776	0.0	1.0	0.9722222222222222	0.6285714285714286	0.37142857142857144	0.3611111111111111	0.0	1.0	0.6388888888888888	0.9565217391304348	0.043478260869565216	94.33222126809105	0.4723053207789411	98.31945366511547	22	14	-0.04347826086956519
utahontario1_BIOCARTA_EDG1_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6754147812971343	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.07071483474250559	0.3967333428587759	8.0	4.0	4.0	116.0	81.0	35.0	39.0	4.0	35.0	85.0	81.0	4.0	0.06451612903225806	0.5	0.5	0.9354838709677419	0.6982758620689655	0.3017241379310345	0.31451612903225806	0.10256410256410256	0.8974358974358975	0.6854838709677419	0.9529411764705882	0.047058823529411764	91.77615855530823	0.4462863357187405	96.11358537553836	85	39	0.055505279034690824
utahontario1_BIOCARTA_EGFR_SMRTE_PATHWAY_weka_svm_weights_r_svm_rbf	0.6454849498327759	0.5	0.36111111111111116	-0.13888888888888884	NA	0.5	-0.15909090909090898	0.43426324236581104	5.0	0.0	5.0	31.0	18.0	13.0	13.0	0.0	13.0	23.0	18.0	5.0	0.1388888888888889	0.0	1.0	0.8611111111111112	0.5806451612903226	0.41935483870967744	0.3611111111111111	0.0	1.0	0.6388888888888888	0.782608695652174	0.21739130434782608	93.70222642845891	0.47082565598034065	98.01143292470549	18	18	-0.21739130434782605
utahontario1_BIOCARTA_EGFR_SMRTE_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6404223227752639	0.6935483870967742	0.3145161290322581	0.008064516129032362	NA	0.30645161290322576	0.08646762310973272	0.40733373811793666	7.0	4.0	3.0	117.0	82.0	35.0	39.0	4.0	35.0	85.0	82.0	3.0	0.056451612903225805	0.5714285714285714	0.42857142857142855	0.9435483870967742	0.7008547008547008	0.29914529914529914	0.31451612903225806	0.10256410256410256	0.8974358974358975	0.6854838709677419	0.9647058823529412	0.03529411764705882	94.22834356462313	0.4532208330590982	97.60701985653256	86	38	0.06726998491704372
utahontario1_BIOCARTA_EGF_PATHWAY_weka_svm_weights_r_svm_rbf	0.42642140468227424	0.6111111111111112	0.36111111111111116	-0.02777777777777768	NA	0.38888888888888884	-0.03225806451612891	0.4747358279339386	5.0	2.0	3.0	31.0	20.0	11.0	13.0	2.0	11.0	23.0	20.0	3.0	0.1388888888888889	0.4	0.6	0.8611111111111112	0.6451612903225806	0.3548387096774194	0.3611111111111111	0.15384615384615385	0.8461538461538461	0.6388888888888888	0.8695652173913043	0.13043478260869565	102.43511239962588	0.5145639539199095	107.11640246129302	22	14	0.02341137123745818
utahontario1_BIOCARTA_EGF_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.7034690799396682	0.7741935483870968	0.3145161290322581	0.08870967741935487	NA	0.22580645161290325	0.35884177869700107	0.36726196902171315	19.0	15.0	4.0	105.0	81.0	24.0	39.0	15.0	24.0	85.0	81.0	4.0	0.1532258064516129	0.7894736842105263	0.21052631578947367	0.8467741935483871	0.7714285714285715	0.22857142857142856	0.31451612903225806	0.38461538461538464	0.6153846153846154	0.6854838709677419	0.9529411764705882	0.047058823529411764	84.95855795077361	0.42877978755090584	92.34332180865073	96	28	0.33755656108597276
utahontario1_BIOCARTA_EIF2_PATHWAY_weka_svm_weights_r_svm_rbf	0.6153846153846154	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.44311667078252437	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	95.61255609313775	0.4763601585910038	99.16354629088804	23	13	0.0
utahontario1_BIOCARTA_EIF2_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5037707390648567	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.0	0.4349797978994769	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	100.62369503081774	0.4661437239590978	100.39013302493271	85	39	0.0
utahontario1_BIOCARTA_EIF4_PATHWAY_weka_svm_weights_r_svm_rbf	0.6822742474916388	0.6944444444444444	0.36111111111111116	0.05555555555555558	NA	0.3055555555555556	0.25	0.43194258053816487	6.0	4.0	2.0	30.0	21.0	9.0	13.0	4.0	9.0	23.0	21.0	2.0	0.16666666666666666	0.6666666666666666	0.3333333333333333	0.8333333333333334	0.7	0.3	0.3611111111111111	0.3076923076923077	0.6923076923076923	0.6388888888888888	0.9130434782608695	0.08695652173913043	93.20149056407091	0.4596729613835566	95.68978463617624	25	11	0.2207357859531771
utahontario1_BIOCARTA_EIF4_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6295625942684766	0.717741935483871	0.3145161290322581	0.032258064516129115	NA	0.282258064516129	0.18051359516616325	0.4109706570085145	10.0	7.0	3.0	114.0	82.0	32.0	39.0	7.0	32.0	85.0	82.0	3.0	0.08064516129032258	0.7	0.3	0.9193548387096774	0.7192982456140351	0.2807017543859649	0.31451612903225806	0.1794871794871795	0.8205128205128205	0.6854838709677419	0.9647058823529412	0.03529411764705882	95.06967049305646	0.4513321648561248	97.20027051638033	89	35	0.1441930618401206
utahontario1_BIOCARTA_EIF_PATHWAY_weka_svm_weights_r_svm_rbf	0.5217391304347826	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.4491767049008895	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	96.92014705116986	0.4850874825505807	100.98030694530736	23	13	0.0
utahontario1_BIOCARTA_EIF_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6404223227752639	0.6451612903225806	0.3145161290322581	-0.040322580645161255	NA	0.3548387096774194	-0.07698381365969202	0.43033300067167596	5.0	0.0	5.0	119.0	80.0	39.0	39.0	0.0	39.0	85.0	80.0	5.0	0.04032258064516129	0.0	1.0	0.9596774193548387	0.6722689075630253	0.3277310924369748	0.31451612903225806	0.0	1.0	0.6854838709677419	0.9411764705882353	0.058823529411764705	99.54875336828944	0.4653122384590742	100.21106177358836	80	44	-0.05882352941176472
utahontario1_BIOCARTA_EPHA4_PATHWAY_weka_svm_weights_r_svm_rbf	0.5250836120401338	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.4492179873635787	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	96.92905468665232	0.4839136743750182	100.73595615472424	23	13	0.0
utahontario1_BIOCARTA_EPHA4_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5713423831070891	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.0	0.42454967228833906	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	98.21089842808726	0.4601075843306967	99.09017159864645	85	39	0.0
utahontario1_BIOCARTA_EPONFKB_PATHWAY_weka_svm_weights_r_svm_rbf	0.6153846153846154	0.6666666666666666	0.36111111111111116	0.02777777777777779	NA	0.33333333333333337	0.16602316602316594	0.43563638629395945	5.0	3.0	2.0	31.0	21.0	10.0	13.0	3.0	10.0	23.0	21.0	2.0	0.1388888888888889	0.6	0.4	0.8611111111111112	0.6774193548387096	0.3225806451612903	0.3611111111111111	0.23076923076923078	0.7692307692307693	0.6388888888888888	0.9130434782608695	0.08695652173913043	93.99851363566823	0.47149263084953236	98.15027659608133	24	12	0.14381270903010024
utahontario1_BIOCARTA_EPONFKB_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6027149321266968	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	-0.01597705858254827	0.4284798204108867	1.0	0.0	1.0	123.0	84.0	39.0	39.0	0.0	39.0	85.0	84.0	1.0	0.008064516129032258	0.0	1.0	0.9919354838709677	0.6829268292682927	0.3170731707317073	0.31451612903225806	0.0	1.0	0.6854838709677419	0.9882352941176471	0.011764705882352941	99.12005795232007	0.4625410514745763	99.61425049905725	84	40	-0.0117647058823529
utahontario1_BIOCARTA_EPO_PATHWAY_weka_svm_weights_r_svm_rbf	0.5050167224080268	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.4477474736447253	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	96.61175772018679	0.48719541651118703	101.4191140182981	23	13	0.0
utahontario1_BIOCARTA_EPO_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6343891402714932	0.6935483870967742	0.3145161290322581	0.008064516129032362	NA	0.30645161290322576	0.16602613374327446	0.406225942928082	5.0	3.0	2.0	119.0	83.0	36.0	39.0	3.0	36.0	85.0	83.0	2.0	0.04032258064516129	0.6	0.4	0.9596774193548387	0.6974789915966386	0.3025210084033613	0.31451612903225806	0.07692307692307693	0.9230769230769231	0.6854838709677419	0.9764705882352941	0.023529411764705882	93.97207776589217	0.45203042070825755	97.35064902472038	86	38	0.05339366515837107
utahontario1_BIOCARTA_ERK5_PATHWAY_weka_svm_weights_r_svm_rbf	0.6153846153846154	0.6944444444444444	0.36111111111111116	0.05555555555555558	NA	0.3055555555555556	0.16602316602316594	0.4489952272147625	4.0	3.0	1.0	32.0	22.0	10.0	13.0	3.0	10.0	23.0	22.0	1.0	0.1111111111111111	0.75	0.25	0.8888888888888888	0.6875	0.3125	0.3611111111111111	0.23076923076923078	0.7692307692307693	0.6388888888888888	0.9565217391304348	0.043478260869565216	96.88098908987304	0.4756040862785883	99.00615526983113	25	11	0.18729096989966565
utahontario1_BIOCARTA_ERK5_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5375565610859729	0.6693548387096774	0.3145161290322581	-0.016129032258064502	NA	0.3306451612903226	0.0383869716944552	0.4291452067247455	6.0	2.0	4.0	118.0	81.0	37.0	39.0	2.0	37.0	85.0	81.0	4.0	0.04838709677419355	0.3333333333333333	0.6666666666666666	0.9516129032258065	0.6864406779661016	0.3135593220338983	0.31451612903225806	0.05128205128205128	0.9487179487179487	0.6854838709677419	0.9529411764705882	0.047058823529411764	99.27398149048605	0.4712780780619259	101.4958831721239	83	41	0.004223227752639502
utahontario1_BIOCARTA_ERK_PATHWAY_weka_svm_weights_r_svm_rbf	0.6354515050167224	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.040983606557376935	0.43655703289576453	2.0	1.0	1.0	34.0	22.0	12.0	13.0	1.0	12.0	23.0	22.0	1.0	0.05555555555555555	0.5	0.5	0.9444444444444444	0.6470588235294118	0.35294117647058826	0.3611111111111111	0.07692307692307693	0.9230769230769231	0.6388888888888888	0.9565217391304348	0.043478260869565216	94.19716419580534	0.4741458361091776	98.70259239713882	23	13	0.03344481605351168
utahontario1_BIOCARTA_ERK_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6723981900452489	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	0.07226277372262771	0.40330874707024095	13.0	6.0	7.0	111.0	78.0	33.0	39.0	6.0	33.0	85.0	78.0	7.0	0.10483870967741936	0.46153846153846156	0.5384615384615384	0.8951612903225806	0.7027027027027027	0.2972972972972973	0.31451612903225806	0.15384615384615385	0.8461538461538461	0.6854838709677419	0.9176470588235294	0.08235294117647059	93.29724406611561	0.4526572267470066	97.4856398834976	84	40	0.07149321266968323
utahontario1_BIOCARTA_ERYTH_PATHWAY_weka_svm_weights_r_svm_rbf	0.5518394648829431	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.44919642091654044	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	96.92440123246487	0.4809654203077487	100.12222025888079	23	13	0.0
